#chr	male_nu	male_p	female_nu	female_p
1	8.949	0.063	6.384	0.073
2	8.024	0.050	6.718	0.070
3	8.695	0.049	6.556	0.081
4	8.895	0.059	6.009	0.044
5	7.737	0.038	6.753	0.052
6	9.456	0.066	7.314	0.069
7	8.685	0.056	7.360	0.065
8	9.775	0.145	7.141	0.175
9	9.587	0.101	6.586	0.105
10	9.031	0.058	7.260	0.061
11	8.158	0.057	7.818	0.074
12	8.126	0.061	7.175	0.059
13	9.142	0.042	7.442	0.036
14	9.295	0.033	7.451	0.057
15	8.652	0.064	7.754	0.095
16	8.114	0.088	8.277	0.190
17	9.220	0.095	7.479	0.061
18	8.314	0.058	8.139	0.058
19	8.104	0.068	8.273	0.053
20	8.905	0.082	7.637	0.070
21	100	0.057	9.598	0.062
22	12.67	0.069	9.958	0.090
